Symbol,Price,Time
005930:KRX,81800.00000,2024-07-03 17:58:20
005930:KRX,81800.00000,2024-07-03 17:59:43
005930:KRX,81800.00000,2024-07-03 17:59:54
005930:KRX,81800.00000,2024-07-03 18:00:05
005930:KRX,81800.00000,2024-07-03 18:00:09
005930:KRX,81800.00000,2024-07-03 18:00:24
005930:KRX,81800.00000,2024-07-03 18:00:36
005930:KRX,81800.00000,2024-07-03 18:00:46
005930:KRX,81800.00000,2024-07-03 18:01:08
005930:KRX,81800.00000,2024-07-03 18:01:19
005930:KRX,81800.00000,2024-07-03 18:01:29
005930:KRX,81800.00000,2024-07-03 18:01:40
005930:KRX,81800.00000,2024-07-03 18:01:51
005930:KRX,81800.00000,2024-07-03 18:02:01
005930:KRX,81800.00000,2024-07-03 18:02:12
005930:KRX,81800.00000,2024-07-03 18:02:23
005930:KRX,81800.00000,2024-07-03 18:02:34
005930:KRX,81800.00000,2024-07-03 18:02:44
005930:KRX,81800.00000,2024-07-03 18:02:55
005930:KRX,81800.00000,2024-07-03 18:03:06
005930:KRX,81800.00000,2024-07-03 18:03:16
005930:KRX,81800.00000,2024-07-03 18:03:27
005930:KRX,81800.00000,2024-07-03 18:03:38
005930:KRX,81800.00000,2024-07-03 18:03:48
005930:KRX,81800.00000,2024-07-03 18:03:59
005930:KRX,81800.00000,2024-07-03 18:04:10
005930:KRX,81800.00000,2024-07-03 18:04:21
005930:KRX,81800.00000,2024-07-03 18:04:31
005930:KRX,81800.00000,2024-07-03 18:04:42
005930:KRX,81800.00000,2024-07-03 18:04:53
005930:KRX,81800.00000,2024-07-03 18:05:03
005930:KRX,81800.00000,2024-07-03 18:05:14
005930:KRX,81800.00000,2024-07-03 18:05:25
005930:KRX,81800.00000,2024-07-03 18:05:36
005930:KRX,81800.00000,2024-07-03 18:05:46
005930:KRX,81800.00000,2024-07-03 18:05:57
005930:KRX,81800.00000,2024-07-03 18:06:08
005930:KRX,81800.00000,2024-07-03 18:06:18
005930:KRX,81800.00000,2024-07-03 18:06:29
005930:KRX,81800.00000,2024-07-03 18:06:40
005930:KRX,81800.00000,2024-07-03 18:06:50
005930:KRX,81800.00000,2024-07-03 18:07:01
005930:KRX,81800.00000,2024-07-03 18:07:12
005930:KRX,81800.00000,2024-07-03 18:07:23
005930:KRX,81800.00000,2024-07-03 18:07:34
005930:KRX,81800.00000,2024-07-03 18:07:44
005930:KRX,81800.00000,2024-07-03 18:07:55
005930:KRX,81800.00000,2024-07-03 18:08:06
005930:KRX,81800.00000,2024-07-03 18:08:17
005930:KRX,81800.00000,2024-07-03 18:08:27
005930:KRX,81800.00000,2024-07-03 18:08:38
005930:KRX,81800.00000,2024-07-03 18:08:49
005930:KRX,81800.00000,2024-07-03 18:08:59
005930:KRX,81800.00000,2024-07-03 18:09:10
005930:KRX,81800.00000,2024-07-03 18:09:21
005930:KRX,81800.00000,2024-07-03 18:09:31
005930:KRX,81800.00000,2024-07-03 18:09:42
005930:KRX,81800.00000,2024-07-03 18:09:53
005930:KRX,81800.00000,2024-07-03 18:10:04
005930:KRX,81800.00000,2024-07-03 18:10:14
005930:KRX,81800.00000,2024-07-03 18:10:25
005930:KRX,81800.00000,2024-07-03 18:10:36
005930:KRX,81800.00000,2024-07-03 18:10:46
005930:KRX,81800.00000,2024-07-03 18:10:57
005930:KRX,81800.00000,2024-07-03 18:11:08
005930:KRX,81800.00000,2024-07-03 18:11:18
005930:KRX,81800.00000,2024-07-03 18:11:29
005930:KRX,81800.00000,2024-07-03 18:11:40
005930:KRX,81800.00000,2024-07-03 18:11:51
005930:KRX,81800.00000,2024-07-03 18:12:01
005930:KRX,81800.00000,2024-07-03 18:12:12
005930:KRX,81800.00000,2024-07-03 18:12:23
005930:KRX,81800.00000,2024-07-03 18:12:34
005930:KRX,81800.00000,2024-07-03 18:12:44
