symbol,price,timestamp
AAPL,219.475,2024-07-03 08:52:47
AAPL,219.45,2024-07-03 08:52:49
AAPL,219.45,2024-07-03 08:52:52
AAPL,219.45,2024-07-03 08:52:55
AAPL,219.475,2024-07-03 08:53:15
AAPL,219.48,2024-07-03 08:53:19
AAPL,219.45,2024-07-03 08:53:22
AAPL,219.5,2024-07-03 08:53:28
AAPL,219.544,2024-07-03 08:53:37
AAPL,219.45,2024-07-03 08:53:43
AAPL,219.475,2024-07-03 08:54:02
AAPL,219.45,2024-07-03 08:54:04
AAPL,219.475,2024-07-03 08:54:06
AAPL,219.475,2024-07-03 08:54:12
AAPL,219.475,2024-07-03 08:54:15
AAPL,219.47,2024-07-03 08:54:25
AAPL,219.5,2024-07-03 08:54:37
AAPL,219.455,2024-07-03 08:54:41
AAPL,219.455,2024-07-03 08:54:44
AAPL,219.42,2024-07-03 08:54:48
AAPL,219.455,2024-07-03 08:54:51
AAPL,219.455,2024-07-03 08:54:57
AAPL,219.47,2024-07-03 08:54:59
AAPL,219.41,2024-07-03 08:55:39
AAPL,219.43,2024-07-03 08:55:44
AAPL,219.41,2024-07-03 08:55:54
AAPL,219.445,2024-07-03 08:55:57
AAPL,219.47,2024-07-03 08:55:59
AAPL,219.39,2024-07-03 08:56:04
AAPL,219.37,2024-07-03 08:56:07
AAPL,219.36,2024-07-03 08:56:10
AAPL,219.415,2024-07-03 08:56:14
AAPL,219.385,2024-07-03 08:56:19
AAPL,219.41,2024-07-03 08:56:28
AAPL,219.39,2024-07-03 08:56:42
AAPL,219.42,2024-07-03 08:56:48
AAPL,219.39,2024-07-03 08:56:54
AAPL,219.395,2024-07-03 08:57:05
AAPL,219.38,2024-07-03 08:57:08
AAPL,219.37,2024-07-03 08:57:14
AAPL,219.38,2024-07-03 08:57:21
AAPL,219.36,2024-07-03 08:57:24
AAPL,219.395,2024-07-03 08:57:31
AAPL,219.395,2024-07-03 08:57:33
AAPL,219.37,2024-07-03 08:57:36
AAPL,219.36,2024-07-03 08:57:45
AAPL,219.36,2024-07-03 08:57:48
AAPL,219.36,2024-07-03 08:57:51
AAPL,219.37,2024-07-03 08:58:08
AAPL,219.37,2024-07-03 08:58:11
AAPL,219.43,2024-07-03 08:58:15
AAPL,219.39,2024-07-03 08:58:24
AAPL,219.39,2024-07-03 08:58:32
AAPL,219.36,2024-07-03 08:58:36
AAPL,219.4,2024-07-03 08:58:38
AAPL,219.385,2024-07-03 08:58:42
AAPL,219.36,2024-07-03 08:58:49
AAPL,219.385,2024-07-03 08:58:52
AAPL,219.35,2024-07-03 08:58:55
AAPL,219.375,2024-07-03 08:58:57
AAPL,219.4,2024-07-03 08:59:01
AAPL,219.36,2024-07-03 08:59:03
AAPL,219.4,2024-07-03 08:59:12
AAPL,219.3512,2024-07-03 08:59:14
AAPL,219.39,2024-07-03 08:59:17
AAPL,219.3946,2024-07-03 08:59:31
AAPL,219.41,2024-07-03 08:59:33
AAPL,219.41,2024-07-03 08:59:36
AAPL,219.39,2024-07-03 08:59:40
AAPL,219.375,2024-07-03 08:59:47
AAPL,219.39,2024-07-03 08:59:57
AAPL,219.39,2024-07-03 09:32:05
AAPL,219.39,2024-07-03 09:33:03
AAPL,219.39,2024-07-03 09:42:00
AAPL,219.39,2024-07-03 09:42:58
AAPL,219.39,2024-07-03 09:52:00
AAPL,219.39,2024-07-03 09:52:58
005930,81800.0,2024-07-03 17:17:06
005930,81800.0,2024-07-03 17:18:48
