symbol,price,timestamp
005930,82000.0,2024-07-02 09:48:21
005930,81900.0,2024-07-02 09:48:22
005930,82000.0,2024-07-02 09:48:24
005930,81900.0,2024-07-02 09:48:25
005930,82000.0,2024-07-02 09:48:27
005930,82000.0,2024-07-02 09:48:28
005930,82000.0,2024-07-02 09:48:30
005930,82000.0,2024-07-02 09:48:31
005930,81900.0,2024-07-02 09:48:32
005930,82000.0,2024-07-02 09:48:33
005930,81900.0,2024-07-02 09:48:34
005930,81900.0,2024-07-02 09:48:36
005930,81900.0,2024-07-02 09:48:37
005930,82000.0,2024-07-02 09:48:38
005930,82000.0,2024-07-02 09:48:42
005930,81900.0,2024-07-02 09:48:42
005930,82000.0,2024-07-02 09:48:44
005930,82000.0,2024-07-02 09:48:45
005930,82000.0,2024-07-02 09:48:47
005930,81900.0,2024-07-02 09:48:48
005930,82000.0,2024-07-02 09:48:49
005930,82000.0,2024-07-02 09:48:50
005930,81900.0,2024-07-02 09:48:51
005930,82000.0,2024-07-02 09:48:52
005930,81900.0,2024-07-02 09:48:54
005930,81900.0,2024-07-02 09:48:55
005930,82000.0,2024-07-02 09:48:56
005930,82000.0,2024-07-02 09:48:58
005930,81900.0,2024-07-02 09:48:59
005930,82000.0,2024-07-02 09:49:00
005930,81900.0,2024-07-02 09:49:02
005930,81900.0,2024-07-02 09:49:03
